unicode dec,unicode hex,character,name
2406,0966,०,dvZero
2407,0967,१,dvOne
2408,0968,२,dvTwo
2409,0969,३,dvThree
2410,096A,४,dvFour
2411,096B,५,dvFive
2412,096C,६,dvSix
2413,096D,७,dvSeven
2414,096E,८,dvEight
2415,096F,९,dvNine
