unicode dec,unicode hex,character,name
65268,FEF4,ﻴ,yehArabic.medi
65267,FEF3,ﻳ,yehArabic.init
65161,FE89,ﺉ,yehHamze.isol
65162,FE8A,ﺊ,yehHamze.fina
65164,FE8C,ﺌ,yehHamze.medi
65163,FE8B,ﺋ,yehHamze.init
65263,FEEF,ﻯ,alefMaghsureh.isol
65264,FEF0,ﻰ,alefMaghsureh.fina
64430,FBAE,ﮮ,yehBaree.isol
64431,FBAF,ﮯ,yehBaree.fina
64432,FBB0,ﮰ,yehBareeHamzehAbove.isol
64433,FBB1,ﮱ,yehBareeHamzehAbove.fina
65275,FEFB,ﻻ,lam.init_alef.fina
65276,FEFC,ﻼ,lam.medi_alef.fina
65269,FEF5,ﻵ,lam.init_ah.fina
65270,FEF6,ﻶ,lam.medi_ah.fina
65271,FEF7,ﻷ,lam.init_alefHamzeAbove.fina
65272,FEF8,ﻸ,lam.medi_alefHamzeAbove.fina
65273,FEF9,ﻹ,lam.init_alefHamzeBelow.fina
65274,FEFA,ﻺ,lam.medi_alefHamzeBelow.fina
1569,0621,ء,hamze
1570,0622,آ,ah
1571,0623,أ,alefHamzeAbove
1573,0625,إ,alefHamzeBelow
1649,0671,ٱ,alefWasleh
1575,0627,ا,alef
1576,0628,ب,beh
1662,067E,پ,peh
1578,062A,ت,teh
1657,0679,ٹ,tehTa
1579,062B,ث,theh
1580,062C,ج,jim
1670,0686,چ,cheh
1581,062D,ح,hah
1582,062E,خ,kheh
1583,062F,د,dal
1584,0630,ذ,zal
1672,0688,ڈ,dalTa
1585,0631,ر,reh
1586,0632,ز,zeh
1688,0698,ژ,zheh
1681,0691,ڑ,rehTa
1587,0633,س,sin
1588,0634,ش,shin
1589,0635,ص,sad
1590,0636,ض,zad
1591,0637,ط,ta
1592,0638,ظ,za
1593,0639,ع,eyn
1594,063A,غ,gheyn
1601,0641,ف,feh
1602,0642,ق,ghaf
1705,06A9,ک,kaf
1711,06AF,گ,gaf
1603,0643,ك,kafArabic
1604,0644,ل,lam
1605,0645,م,mim
1722,06BA,ں,noonGhuna
1606,0646,ن,noon
1608,0648,و,vav
1572,0624,ؤ,vavHamzeAbove
1607,0647,ه,heh
1577,0629,ة,tehArabic
1726,06BE,ھ,hehDocheshm
1740,06CC,ی,yeh
1610,064A,ي,yehArabic
1574,0626,ئ,yehHamze
1609,0649,ى,alefMaghsureh
1746,06D2,ے,yehBaree
1747,06D3,ۓ,yehBareeHamzehAbove
1600,0640,ـ,keshide
,,,ovalComp

