unicode dec,unicode hex,character,name
44676,AE84,꺄,uniAE84
44677,AE85,꺅,uniAE85
44684,AE8C,꺌,uniAE8C
44732,AEBC,꺼,uniAEBC
44733,AEBD,꺽,uniAEBD
44734,AEBE,꺾,uniAEBE
44736,AEC0,껀,uniAEC0
44740,AEC4,껄,uniAEC4
44748,AECC,껌,uniAECC
44749,AECD,껍,uniAECD
44751,AECF,껏,uniAECF
44752,AED0,껐,uniAED0
44753,AED1,껑,uniAED1
44760,AED8,께,uniAED8
44761,AED9,껙,uniAED9
44764,AEDC,껜,uniAEDC
44776,AEE8,껨,uniAEE8
44779,AEEB,껫,uniAEEB
44781,AEED,껭,uniAEED
44788,AEF4,껴,uniAEF4
44792,AEF8,껸,uniAEF8
44796,AEFC,껼,uniAEFC
44807,AF07,꼇,uniAF07
44808,AF08,꼈,uniAF08
44813,AF0D,꼍,uniAF0D
44816,AF10,꼐,uniAF10
44844,AF2C,꼬,uniAF2C
44845,AF2D,꼭,uniAF2D
44848,AF30,꼰,uniAF30
44850,AF32,꼲,uniAF32
44852,AF34,꼴,uniAF34
44860,AF3C,꼼,uniAF3C
44861,AF3D,꼽,uniAF3D
44863,AF3F,꼿,uniAF3F
44865,AF41,꽁,uniAF41
44866,AF42,꽂,uniAF42
44867,AF43,꽃,uniAF43
44872,AF48,꽈,uniAF48
44873,AF49,꽉,uniAF49
44880,AF50,꽐,uniAF50
44892,AF5C,꽜,uniAF5C
44893,AF5D,꽝,uniAF5D
44900,AF64,꽤,uniAF64
44901,AF65,꽥,uniAF65
44921,AF79,꽹,uniAF79
44928,AF80,꾀,uniAF80
44932,AF84,꾄,uniAF84
44936,AF88,꾈,uniAF88
44944,AF90,꾐,uniAF90
44945,AF91,꾑,uniAF91
44949,AF95,꾕,uniAF95
44956,AF9C,꾜,uniAF9C
44984,AFB8,꾸,uniAFB8
44985,AFB9,꾹,uniAFB9
44988,AFBC,꾼,uniAFBC
44992,AFC0,꿀,uniAFC0
44999,AFC7,꿇,uniAFC7
45000,AFC8,꿈,uniAFC8
45001,AFC9,꿉,uniAFC9
45003,AFCB,꿋,uniAFCB
45005,AFCD,꿍,uniAFCD
45006,AFCE,꿎,uniAFCE
45012,AFD4,꿔,uniAFD4
45020,AFDC,꿜,uniAFDC
45032,AFE8,꿨,uniAFE8
45033,AFE9,꿩,uniAFE9
45040,AFF0,꿰,uniAFF0
45041,AFF1,꿱,uniAFF1
45044,AFF4,꿴,uniAFF4
45048,AFF8,꿸,uniAFF8
45056,B000,뀀,uniB000
45057,B001,뀁,uniB001
45060,B004,뀄,uniB004
45068,B00C,뀌,uniB00C
45072,B010,뀐,uniB010
45076,B014,뀔,uniB014
45084,B01C,뀜,uniB01C
45085,B01D,뀝,uniB01D
45096,B028,뀨,uniB028
45124,B044,끄,uniB044
45125,B045,끅,uniB045
45128,B048,끈,uniB048
45130,B04A,끊,uniB04A
45132,B04C,끌,uniB04C
45134,B04E,끎,uniB04E
45139,B053,끓,uniB053
45140,B054,끔,uniB054
45141,B055,끕,uniB055
45143,B057,끗,uniB057
45145,B059,끙,uniB059
45149,B05D,끝,uniB05D
45180,B07C,끼,uniB07C
45181,B07D,끽,uniB07D
45184,B080,낀,uniB080
45188,B084,낄,uniB084
45196,B08C,낌,uniB08C
45197,B08D,낍,uniB08D
45199,B08F,낏,uniB08F
45201,B091,낑,uniB091
45208,B098,나,uniB098
45209,B099,낙,uniB099
45210,B09A,낚,uniB09A
45212,B09C,난,uniB09C
45215,B09F,낟,uniB09F
45216,B0A0,날,uniB0A0
45217,B0A1,낡,uniB0A1
45218,B0A2,낢,uniB0A2
45224,B0A8,남,uniB0A8
45225,B0A9,납,uniB0A9
45227,B0AB,낫,uniB0AB
45228,B0AC,났,uniB0AC
45229,B0AD,낭,uniB0AD
45230,B0AE,낮,uniB0AE
45231,B0AF,낯,uniB0AF
45233,B0B1,낱,uniB0B1
45235,B0B3,낳,uniB0B3
45236,B0B4,내,uniB0B4
45237,B0B5,낵,uniB0B5
45240,B0B8,낸,uniB0B8
45244,B0BC,낼,uniB0BC
45252,B0C4,냄,uniB0C4
45253,B0C5,냅,uniB0C5
45255,B0C7,냇,uniB0C7
45256,B0C8,냈,uniB0C8
45257,B0C9,냉,uniB0C9
45264,B0D0,냐,uniB0D0
45265,B0D1,냑,uniB0D1
45268,B0D4,냔,uniB0D4
45272,B0D8,냘,uniB0D8
45280,B0E0,냠,uniB0E0
45285,B0E5,냥,uniB0E5
45320,B108,너,uniB108
45321,B109,넉,uniB109
45323,B10B,넋,uniB10B
45324,B10C,넌,uniB10C
45328,B110,널,uniB110
45330,B112,넒,uniB112
45331,B113,넓,uniB113
45336,B118,넘,uniB118
45337,B119,넙,uniB119
45339,B11B,넛,uniB11B
45340,B11C,넜,uniB11C
45341,B11D,넝,uniB11D
45347,B123,넣,uniB123
45348,B124,네,uniB124
45349,B125,넥,uniB125
45352,B128,넨,uniB128
45356,B12C,넬,uniB12C
45364,B134,넴,uniB134
45365,B135,넵,uniB135
45367,B137,넷,uniB137
45368,B138,넸,uniB138
45369,B139,넹,uniB139
45376,B140,녀,uniB140
45377,B141,녁,uniB141
45380,B144,년,uniB144
45384,B148,녈,uniB148
45392,B150,념,uniB150
45393,B151,녑,uniB151
45396,B154,녔,uniB154
45397,B155,녕,uniB155
45400,B158,녘,uniB158
45404,B15C,녜,uniB15C
45408,B160,녠,uniB160
45432,B178,노,uniB178
45433,B179,녹,uniB179
45436,B17C,논,uniB17C
45440,B180,놀,uniB180
45442,B182,놂,uniB182
45448,B188,놈,uniB188
45449,B189,놉,uniB189
45451,B18B,놋,uniB18B
45453,B18D,농,uniB18D
45458,B192,높,uniB192
45459,B193,놓,uniB193
45460,B194,놔,uniB194
45464,B198,놘,uniB198
45468,B19C,놜,uniB19C
45480,B1A8,놨,uniB1A8
