unicode dec,unicode hex,character,name
44322,AD22,괢,uniAD22
44323,AD23,괣,uniAD23
44324,AD24,괤,uniAD24
44325,AD25,괥,uniAD25
44326,AD26,괦,uniAD26
44327,AD27,괧,uniAD27
44328,AD28,괨,uniAD28
44330,AD2A,괪,uniAD2A
44331,AD2B,괫,uniAD2B
44334,AD2E,괮,uniAD2E
44335,AD2F,괯,uniAD2F
44336,AD30,괰,uniAD30
44337,AD31,괱,uniAD31
44338,AD32,괲,uniAD32
44339,AD33,괳,uniAD33
44342,AD36,괶,uniAD36
44343,AD37,괷,uniAD37
44345,AD39,괹,uniAD39
44346,AD3A,괺,uniAD3A
44347,AD3B,괻,uniAD3B
44349,AD3D,괽,uniAD3D
44350,AD3E,괾,uniAD3E
44351,AD3F,괿,uniAD3F
44352,AD40,굀,uniAD40
44353,AD41,굁,uniAD41
44354,AD42,굂,uniAD42
44355,AD43,굃,uniAD43
44358,AD46,굆,uniAD46
44360,AD48,굈,uniAD48
44362,AD4A,굊,uniAD4A
44363,AD4B,굋,uniAD4B
44364,AD4C,굌,uniAD4C
44365,AD4D,굍,uniAD4D
44366,AD4E,굎,uniAD4E
44367,AD4F,굏,uniAD4F
44369,AD51,굑,uniAD51
44370,AD52,굒,uniAD52
44371,AD53,굓,uniAD53
44373,AD55,굕,uniAD55
44374,AD56,굖,uniAD56
44375,AD57,굗,uniAD57
44377,AD59,굙,uniAD59
44378,AD5A,굚,uniAD5A
44379,AD5B,굛,uniAD5B
44380,AD5C,굜,uniAD5C
44381,AD5D,굝,uniAD5D
44382,AD5E,굞,uniAD5E
44383,AD5F,굟,uniAD5F
44384,AD60,굠,uniAD60
44386,AD62,굢,uniAD62
44388,AD64,굤,uniAD64
44389,AD65,굥,uniAD65
44390,AD66,굦,uniAD66
44391,AD67,굧,uniAD67
44392,AD68,굨,uniAD68
44393,AD69,굩,uniAD69
44394,AD6A,굪,uniAD6A
44395,AD6B,굫,uniAD6B
44398,AD6E,굮,uniAD6E
44399,AD6F,굯,uniAD6F
44401,AD71,굱,uniAD71
44402,AD72,굲,uniAD72
44407,AD77,굷,uniAD77
44408,AD78,굸,uniAD78
44409,AD79,굹,uniAD79
44410,AD7A,굺,uniAD7A
44414,AD7E,굾,uniAD7E
