unicode dec,unicode hex,character,name
65308,FF1C,＜,uniFF1C
65309,FF1D,＝,uniFF1D
65310,FF1E,＞,uniFF1E
65311,FF1F,？,uniFF1F
65312,FF20,＠,uniFF20
65313,FF21,Ａ,uniFF21
65314,FF22,Ｂ,uniFF22
65315,FF23,Ｃ,uniFF23
65316,FF24,Ｄ,uniFF24
65317,FF25,Ｅ,uniFF25
65318,FF26,Ｆ,uniFF26
65319,FF27,Ｇ,uniFF27
65320,FF28,Ｈ,uniFF28
65321,FF29,Ｉ,uniFF29
65322,FF2A,Ｊ,uniFF2A
65323,FF2B,Ｋ,uniFF2B
65324,FF2C,Ｌ,uniFF2C
65325,FF2D,Ｍ,uniFF2D
65326,FF2E,Ｎ,uniFF2E
65327,FF2F,Ｏ,uniFF2F
65328,FF30,Ｐ,uniFF30
65329,FF31,Ｑ,uniFF31
65330,FF32,Ｒ,uniFF32
65331,FF33,Ｓ,uniFF33
65332,FF34,Ｔ,uniFF34
65333,FF35,Ｕ,uniFF35
65334,FF36,Ｖ,uniFF36
65335,FF37,Ｗ,uniFF37
65336,FF38,Ｘ,uniFF38
65337,FF39,Ｙ,uniFF39
65338,FF3A,Ｚ,uniFF3A
65339,FF3B,［,uniFF3B
65340,FF3C,＼,uniFF3C
65341,FF3D,］,uniFF3D
65342,FF3E,＾,uniFF3E
65343,FF3F,＿,uniFF3F
65344,FF40,｀,uniFF40
65345,FF41,ａ,uniFF41
65346,FF42,ｂ,uniFF42
65347,FF43,ｃ,uniFF43
65348,FF44,ｄ,uniFF44
65349,FF45,ｅ,uniFF45
65350,FF46,ｆ,uniFF46
65351,FF47,ｇ,uniFF47
65352,FF48,ｈ,uniFF48
65353,FF49,ｉ,uniFF49
65354,FF4A,ｊ,uniFF4A
65355,FF4B,ｋ,uniFF4B
65356,FF4C,ｌ,uniFF4C
65357,FF4D,ｍ,uniFF4D
65358,FF4E,ｎ,uniFF4E
65359,FF4F,ｏ,uniFF4F
65360,FF50,ｐ,uniFF50
65361,FF51,ｑ,uniFF51
65362,FF52,ｒ,uniFF52
65363,FF53,ｓ,uniFF53
65364,FF54,ｔ,uniFF54
65365,FF55,ｕ,uniFF55
65366,FF56,ｖ,uniFF56
65367,FF57,ｗ,uniFF57
65368,FF58,ｘ,uniFF58
65369,FF59,ｙ,uniFF59
65370,FF5A,ｚ,uniFF5A
65371,FF5B,｛,uniFF5B
65372,FF5C,｜,uniFF5C
